bucket,topic,month,interest
pol_comp,Authoritarianism,202112,16
pol_comp,Authoritarianism,202201,20
pol_comp,Authoritarianism,202202,27
pol_comp,Authoritarianism,202203,28
pol_comp,Authoritarianism,202204,33
pol_comp,Authoritarianism,202205,26
pol_comp,Authoritarianism,202206,18
pol_comp,Authoritarianism,202207,13
pol_comp,Authoritarianism,202208,16
pol_comp,Authoritarianism,202209,22
pol_comp,Authoritarianism,202210,22
pol_comp,Authoritarianism,202211,24
pol_comp,Authoritarianism,202212,20
pol_comp,Authoritarianism,202301,20
pol_comp,Authoritarianism,202302,22
pol_comp,Authoritarianism,202303,25
pol_comp,Authoritarianism,202304,22
pol_comp,Authoritarianism,202305,21
pol_comp,Authoritarianism,202306,16
pol_comp,Authoritarianism,202307,13
pol_comp,Authoritarianism,202308,14
pol_comp,Authoritarianism,202309,20
pol_comp,Authoritarianism,202310,22
pol_comp,Authoritarianism,202311,22
pol_comp,Authoritarianism,202312,20
pol_comp,Authoritarianism,202401,19
pol_comp,Authoritarianism,202402,22
pol_comp,Authoritarianism,202403,25
pol_comp,Authoritarianism,202404,24
pol_comp,Authoritarianism,202405,21
pol_comp,Authoritarianism,202406,15
pol_comp,Authoritarianism,202407,18
pol_comp,Authoritarianism,202408,17
pol_comp,Authoritarianism,202409,23
pol_comp,Authoritarianism,202410,26
pol_comp,Authoritarianism,202411,33
pol_comp,Authoritarianism,202412,23
pol_comp,Authoritarianism,202501,27
pol_comp,Authoritarianism,202502,42
pol_comp,Authoritarianism,202503,42
pol_comp,Authoritarianism,202504,42
pol_comp,Authoritarianism,202505,35
pol_comp,Authoritarianism,202506,45
pol_comp,Authoritarianism,202507,30
pol_comp,Authoritarianism,202508,63
pol_comp,Authoritarianism,202509,100
pol_comp,Authoritarianism,202510,85
pol_comp,Authoritarianism,202511,57
pol_comp,Authoritarianism,202512,52
pol_comp,Authoritarianism,202601,76
pol_comp,Authoritarianism,202602,97
sci_math,Chaos theory,200401,8
sci_math,Chaos theory,200402,10
sci_math,Chaos theory,200403,6
sci_math,Chaos theory,200404,7
sci_math,Chaos theory,200405,6
sci_math,Chaos theory,200406,6
sci_math,Chaos theory,200407,9
sci_math,Chaos theory,200408,8
sci_math,Chaos theory,200409,9
sci_math,Chaos theory,200410,9
sci_math,Chaos theory,200411,8
sci_math,Chaos theory,200412,8
sci_math,Chaos theory,200501,11
